hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
สำนักงานสาธารณสุขอำเภอป่าซาง,00558,อื่นๆ,,,1,51,51-ลำพูน,5106,06-ป่าซาง,510602,02-ป่าซาง
สำนักงานสาธารณสุขอำเภอบ้านธิ,00559,อื่นๆ,,,1,51,51-ลำพูน,5107,07-บ้านธิ,510701,01-บ้านธิ
สำนักงานสาธารณสุขอำเภอเวียงหนองล่อง,00560,อื่นๆ,,,1,51,51-ลำพูน,5108,08-เวียงหนองล่อง,510801,01-หนองล่อง
สำนักงานสาธารณสุขอำเภองาว,00565,อื่นๆ,,,1,52,52-ลำปาง,5205,05-งาว,520506,06-นาแก
สำนักงานสาธารณสุขอำเภอแจ้ห่ม,00566,อื่นๆ,,,1,52,52-ลำปาง,5206,06-แจ้ห่ม,520601,01-แจ้ห่ม
สำนักงานสาธารณสุขอำเภอวังเหนือ,00567,อื่นๆ,,,1,52,52-ลำปาง,5207,07-วังเหนือ,520702,02-วังเหนือ
สำนักงานสาธารณสุขอำเภอแม่พริก,00569,อื่นๆ,,,1,52,52-ลำปาง,5209,09-แม่พริก,520901,01-แม่พริก
สำนักงานสาธารณสุขอำเภอสบปราบ,00571,อื่นๆ,,,1,52,52-ลำปาง,5211,11-สบปราบ,521101,01-สบปราบ
สำนักงานสาธารณสุขอำเภอเมืองปาน,00573,อื่นๆ,,,1,52,52-ลำปาง,5213,13-เมืองปาน,521301,01-เมืองปาน
สำนักงานสาธารณสุขอำเภอลับแล,00581,อื่นๆ,,,2,53,53-อุตรดิตถ์,5308,08-ลับแล,530801,01-ศรีพนมมาศ
สำนักงานสาธารณสุขอำเภอเมืองแพร่,00583,อื่นๆ,,,1,54,54-แพร่,5401,01-เมืองแพร่,540101,01-ในเวียง
สำนักงานสาธารณสุขอำเภอร้องกวาง,00584,อื่นๆ,,,1,54,54-แพร่,5402,02-ร้องกวาง,540201,01-ร้องกวาง
สำนักงานสาธารณสุขอำเภอสูงเม่น,00586,อื่นๆ,,,1,54,54-แพร่,5404,04-สูงเม่น,540401,01-สูงเม่น
สำนักงานสาธารณสุขอำเภอเด่นชัย,00587,อื่นๆ,,,1,54,54-แพร่,5405,05-เด่นชัย,540501,01-เด่นชัย
สำนักงานสาธารณสุขอำเภอแม่วาง,00550,อื่นๆ,,,1,50,50-เชียงใหม่,5022,22-แม่วาง,502201,01-บ้านกาด
สำนักงานสาธารณสุขอำเภอสอง,00588,อื่นๆ,,,1,54,54-แพร่,5406,06-สอง,540602,02-บ้านกลาง
สำนักงานสาธารณสุขอำเภอวังชิ้น,00589,อื่นๆ,,,1,54,54-แพร่,5407,07-วังชิ้น,540701,01-วังชิ้น
สำนักงานสาธารณสุขอำเภอนาน้อย,00594,อื่นๆ,,,1,55,55-น่าน,5504,04-นาน้อย,550401,01-นาน้อย
สำนักงานสาธารณสุขอำเภอปัว,00595,อื่นๆ,,,1,55,55-น่าน,5505,05-ปัว,550501,01-ปัว
สำนักงานสาธารณสุขอำเภอเวียงสา,00597,อื่นๆ,,,1,55,55-น่าน,5507,07-เวียงสา,550701,01-กลางเวียง
สำนักงานสาธารณสุขอำเภอท่าวังผา,00596,อื่นๆ,,,1,55,55-น่าน,5506,06-ท่าวังผา,550609,09-ท่าวังผา
สำนักงานสาธารณสุขอำเภอทุ่งช้าง,00598,อื่นๆ,,,1,55,55-น่าน,5508,08-ทุ่งช้าง,550804,04-ทุ่งช้าง
